committee_id,Candidate
C00368795,Bernie Sanders
C00738476,Bernie Sanders
C00577130,Bernie Sanders
C00696948,Bernie Sanders
C00592212,Bernie Sanders
C00630111,Bernie Sanders
C00469767,Bernie Sanders
C00186783,Bernie Sanders
C00224485,Bernie Sanders
C00474791,Bernie Sanders
C00461053,Bernie Sanders
C00321570,Bernie Sanders
C00592568,Bernie Sanders
C00233031,Bernie Sanders
C00588533,Bernie Sanders
C00613190,Bernie Sanders
C00719088,Bernie Sanders
C00609602,Bernie Sanders
C00607390,Bernie Sanders
C00242636,Bernie Sanders
C00334771,Bernie Sanders
C00435248,Bernie Sanders
C00339424,Bernie Sanders
C00173930,Bernie Sanders
C00099028,Bernie Sanders
C00346817,Bernie Sanders
C00258780,Bernie Sanders
C00467852,Bernie Sanders
C00151142,Bernie Sanders
C00161554,Bernie Sanders
C00709238,Bernie Sanders
C00411330,Bernie Sanders
C00257683,Bernie Sanders
C00513754,Bernie Sanders
C00258798,Bernie Sanders
C00344101,Bernie Sanders
C00605709,Bernie Sanders
C90018987,Bernie Sanders
C00610188,Bernie Sanders
C00588707,Bernie Sanders
C00673392,Bernie Sanders
C00514489,Bernie Sanders
C00381731,Bernie Sanders
C00590620,Bernie Sanders
C00327650,Bernie Sanders
C00417303,Bernie Sanders
C00698233,Bernie Sanders
C00727024,Bernie Sanders
C00577197,Bernie Sanders
C00692301,Bernie Sanders
C00589051,Bernie Sanders
C00619890,Bernie Sanders
C00700393,Bernie Sanders
C00699496,Bernie Sanders
C00129114,Bernie Sanders
C00355735,Bernie Sanders
C00599027,Bernie Sanders
C00672113,Bernie Sanders
C00225052,Bernie Sanders
C00243956,Bernie Sanders
C00305425,Bernie Sanders
C00253088,Bernie Sanders
C00282954,Bernie Sanders
C00317198,Bernie Sanders
C00376186,Bernie Sanders
C00593301,Bernie Sanders
C00397935,Bernie Sanders
C00301119,Bernie Sanders
C90005604,Bernie Sanders
C00708677,Bernie Sanders
C00428482,Bernie Sanders
C00587766,Bernie Sanders
C00444935,Bernie Sanders
C00739656,Bernie Sanders
C00701201,Bernie Sanders
C00408385,Bernie Sanders
C00311142,Bernie Sanders
C00713339,Bernie Sanders
C00590828,Bernie Sanders
C00582395,Bernie Sanders
C00742049,Bernie Sanders
C00582551,Bernie Sanders
C00213652,Joe Biden
C00703975,Joe Biden
C00431916,Joe Biden
C00028993,Joe Biden
C00334037,Joe Biden
C00143701,Joe Biden
C00280198,Joe Biden
C00197996,Joe Biden
C00574418,Joe Biden
C00183269,Joe Biden
C00704254,Joe Biden
C00631861,Elizabeth Warren
C00566752,Elizabeth Warren
C00693234,Elizabeth Warren
