Rank,Name,Revenues ($M),Revenue Percent Change,Profits ($M),Profits Percent Change,Assets ($M),Employees
1,Walmart,514405.0,2.8,6670.0,-32.4,219295.0,2200000
2,Exxon Mobil,290212.0,18.8,20840.0,5.7,346196.0,71000
3,Apple,265595.0,15.9,59531.0,23.1,365725.0,132000
4,Berkshire Hathaway,247837.0,2.4,4021.0,-91.1,707794.0,389000
5,Amazon.com,232887.0,30.9,10073.0,232.1,162648.0,647500
6,UnitedHealth Group,226247.0,12.5,11986.0,13.5,152221.0,300000
7,McKesson,208357.0,4.9,67.0,-98.7,60381.0,68000
8,CVS Health,194579.0,5.3,-594.0,-109.0,196456.0,295000
9,AT&T,170756.0,6.4,19370.0,-34.2,531864.0,268220
10,AmerisourceBergen,167939.6,9.7,1658.4,355.0,37669.8,20500
11,Chevron,166339.0,23.6,14824.0,61.2,253863.0,48600
12,Ford Motor,160338.0,2.3,3677.0,-51.6,256540.0,199000
13,General Motors,147049.0,-6.5,8014.0,-,227339.0,173000
14,Costco Wholesale,141576.0,9.7,3134.0,17.0,40830.0,194000
15,Alphabet,136819.0,23.4,30736.0,142.7,232792.0,98771
16,Cardinal Health,136809.0,5.3,256.0,-80.1,39951.0,50200
17,Walgreens Boots Alliance,131537.0,11.3,5024.0,23.2,68124.0,299000
18,JPMorgan Chase,131412.0,15.4,32474.0,32.9,2622532.0,256105
19,Verizon Communications,130863.0,3.8,15528.0,-48.4,264829.0,144500
20,Kroger,121162.0,-1.2,3110.0,63.1,38118.0,453000
21,General Electric,120268.0,-1.6,-22355.0,-,309129.0,283000
22,Fannie Mae,120101.0,6.9,15959.0,547.9,3418318.0,7400
23,Phillips 66,114217.0,24.7,5595.0,9.6,54302.0,14200
24,Valero Energy,111407.0,26.0,3122.0,-23.2,50155.0,10261
25,Bank of America,110584.0,10.3,28147.0,54.4,2354507.0,204489
26,Microsoft,110360.0,22.7,16571.0,-21.8,258848.0,131000
27,Home Depot,108203.0,7.2,11121.0,28.9,44003.0,413000
